
2026-03-05 13:00:00.167 [INFO] [T2] 诊断文件已保存: E:\90 AI\项目\OneNoteToNotion-AI\OneNoteToNotion\bin\Debug\net10.0-windows7.0\diagnostics\01_04_PS_RESOURCE 资源_130000_raw.xml / E:\90 AI\项目\OneNoteToNotion-AI\OneNoteToNotion\bin\Debug\net10.0-windows7.0\diagnostics\01_04_PS_RESOURCE 资源_130000_semantic.txt | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_04_PS_RESOURCE 资源
2026-03-05 13:00:00.169 [INFO] [T2] [12:59:59] [同步]     页面：「01_04_PS_RESOURCE 资源」 → 27 个内容块 [8/72] | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_04_PS_RESOURCE 资源
2026-03-05 13:00:00.558 [INFO] [T2] [13:00:00] [写入完成] 「01_02_PS_PLANT 工厂」 27 个内容块已写入 | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_02_PS_PLANT 工厂
2026-03-05 13:00:03.140 [INFO] [T2] [13:00:03] [写入完成] 「01_01_PS_SCHEDULE_REGION 公司 」 27 个内容块已写入 | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_01_PS_SCHEDULE_REGION 公司 
2026-03-05 13:00:03.858 [INFO] [T2] [13:00:03] [写入完成] 「01_03_PS_SCHEDULE_GROUP 计划组」 26 个内容块已写入 | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_03_PS_SCHEDULE_GROUP 计划组
2026-03-05 13:00:05.279 [INFO] [T2] [13:00:05] [写入完成] 「01_04_PS_RESOURCE 资源」 27 个内容块已写入 | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_04_PS_RESOURCE 资源
2026-03-05 13:00:06.911 [INFO] [T2] GetPageContentXmlAsync 开始, pageId={D62E2D9D-58B2-0BA7-0326-C2D95A1B0758}{1}{E18504872021955651086195724471533728420398106} | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_05_PS_MO_TYPE 工单类型
2026-03-05 13:00:06.999 [INFO] [T2] GetPageContentXmlAsync 成功, pageId={D62E2D9D-58B2-0BA7-0326-C2D95A1B0758}{1}{E18504872021955651086195724471533728420398106}, xmlLength=85478 | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_05_PS_MO_TYPE 工单类型
2026-03-05 13:00:07.014 [INFO] [T2] 诊断文件已保存: E:\90 AI\项目\OneNoteToNotion-AI\OneNoteToNotion\bin\Debug\net10.0-windows7.0\diagnostics\01_05_PS_MO_TYPE 工单类型_130007_raw.xml / E:\90 AI\项目\OneNoteToNotion-AI\OneNoteToNotion\bin\Debug\net10.0-windows7.0\diagnostics\01_05_PS_MO_TYPE 工单类型_130007_semantic.txt | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_05_PS_MO_TYPE 工单类型
2026-03-05 13:00:07.016 [INFO] [T2] [13:00:06] [同步]     页面：「01_05_PS_MO_TYPE 工单类型」 → 26 个内容块 [9/72] | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_05_PS_MO_TYPE 工单类型
2026-03-05 13:00:08.713 [INFO] [T2] GetPageContentXmlAsync 开始, pageId={D62E2D9D-58B2-0BA7-0326-C2D95A1B0758}{1}{E18504872021955651086195724471533728420398107} | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_06_PS_CALENDARS 工作日历
2026-03-05 13:00:08.733 [INFO] [T2] GetPageContentXmlAsync 成功, pageId={D62E2D9D-58B2-0BA7-0326-C2D95A1B0758}{1}{E18504872021955651086195724471533728420398107}, xmlLength=1389 | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_06_PS_CALENDARS 工作日历
2026-03-05 13:00:08.737 [INFO] [T2] 诊断文件已保存: E:\90 AI\项目\OneNoteToNotion-AI\OneNoteToNotion\bin\Debug\net10.0-windows7.0\diagnostics\01_06_PS_CALENDARS 工作日历_130008_raw.xml / E:\90 AI\项目\OneNoteToNotion-AI\OneNoteToNotion\bin\Debug\net10.0-windows7.0\diagnostics\01_06_PS_CALENDARS 工作日历_130008_semantic.txt | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_06_PS_CALENDARS 工作日历
2026-03-05 13:00:08.741 [INFO] [T2] [13:00:08] [同步]     页面：「01_06_PS_CALENDARS 工作日历」 → 0 个内容块 [10/72] | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_06_PS_CALENDARS 工作日历
2026-03-05 13:00:10.022 [INFO] [T2] [13:00:10] [写入完成] 「01_05_PS_MO_TYPE 工单类型」 26 个内容块已写入 | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_05_PS_MO_TYPE 工单类型
2026-03-05 13:00:10.585 [INFO] [T2] GetPageContentXmlAsync 开始, pageId={D62E2D9D-58B2-0BA7-0326-C2D95A1B0758}{1}{E18504872021955651086195724471533728420398108} | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_06_PS_CALENDARS 工作日历/00_06_01_PS_CALENDARS 日历编码
2026-03-05 13:00:10.657 [INFO] [T2] GetPageContentXmlAsync 成功, pageId={D62E2D9D-58B2-0BA7-0326-C2D95A1B0758}{1}{E18504872021955651086195724471533728420398108}, xmlLength=72981 | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_06_PS_CALENDARS 工作日历/00_06_01_PS_CALENDARS 日历编码
2026-03-05 13:00:10.669 [INFO] [T2] 诊断文件已保存: E:\90 AI\项目\OneNoteToNotion-AI\OneNoteToNotion\bin\Debug\net10.0-windows7.0\diagnostics\00_06_01_PS_CALENDARS 日历编码_130010_raw.xml / E:\90 AI\项目\OneNoteToNotion-AI\OneNoteToNotion\bin\Debug\net10.0-windows7.0\diagnostics\00_06_01_PS_CALENDARS 日历编码_130010_semantic.txt | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_06_PS_CALENDARS 工作日历/00_06_01_PS_CALENDARS 日历编码
2026-03-05 13:00:10.671 [INFO] [T2] [13:00:10] [同步]       页面：「00_06_01_PS_CALENDARS 日历编码」 → 24 个内容块 [11/72] | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_06_PS_CALENDARS 工作日历/00_06_01_PS_CALENDARS 日历编码
2026-03-05 13:00:12.224 [INFO] [T2] GetPageContentXmlAsync 开始, pageId={D62E2D9D-58B2-0BA7-0326-C2D95A1B0758}{1}{E18504872021955651086195724471533728420398109} | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_06_PS_CALENDARS 工作日历/00_06_02_PS_CALENDAR_SHIFT 车间班次编码
2026-03-05 13:00:12.310 [INFO] [T2] GetPageContentXmlAsync 成功, pageId={D62E2D9D-58B2-0BA7-0326-C2D95A1B0758}{1}{E18504872021955651086195724471533728420398109}, xmlLength=78670 | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_06_PS_CALENDARS 工作日历/00_06_02_PS_CALENDAR_SHIFT 车间班次编码
